"filename", "language", "Go", "Go Checksum File", "Go Module File", "comment", "blank", "total"
"/run/media/soroush/Drive G/goTmp/architectures/base.go", "Go", 19, 0, 0, 0, 6, 25
"/run/media/soroush/Drive G/goTmp/architectures/layered.go", "Go", 21, 0, 0, 0, 5, 26
"/run/media/soroush/Drive G/goTmp/architectures/makesqlc.go", "Go", 43, 0, 0, 0, 17, 60
"/run/media/soroush/Drive G/goTmp/config_file/MySQL.go", "Go", 35, 0, 0, 0, 9, 44
"/run/media/soroush/Drive G/goTmp/config_file/PostgreSql.go", "Go", 34, 0, 0, 0, 8, 42
"/run/media/soroush/Drive G/goTmp/config_file/makeconfig.go", "Go", 68, 0, 0, 0, 36, 104
"/run/media/soroush/Drive G/goTmp/config_file/sqlc.go", "Go", 24, 0, 0, 0, 6, 30
"/run/media/soroush/Drive G/goTmp/go.mod", "Go Module File", 0, 0, 12, 0, 3, 15
"/run/media/soroush/Drive G/goTmp/go.sum", "Go Checksum File", 0, 23, 0, 0, 1, 24
"/run/media/soroush/Drive G/goTmp/main.go", "Go", 8, 0, 0, 3, 3, 14
"Total", "-", 252, 23, 12, 3, 94, 384
